Codigo_distrito,Nombre_distrito,Codigo_barrio,Nombre_barrio,Total,Tamaño_medio_del_hogar,1_persona,2_personas,3_personas,4_personas,5_personas_o_mas,Año,Latitud ,Longitud
15,Ciudad Lineal,152,Pueblo Nuevo,23919,2.6,6814,6801,4569,3359,2376,2019,40.42815401,-3.637866734
15,Ciudad Lineal,153,Quintana,10338,2.38,3687,2852,1787,1141,871,2019,40.43615611,-3.648158762
15,Ciudad Lineal,154,Concepción,9059,2.3,3364,2455,1570,1075,595,2019,40.44138909,-3.647127163
15,Ciudad Lineal,155,San Pascual,7529,2.41,2364,2205,1386,1049,525,2019,40.44285992,-3.653142425
15,Ciudad Lineal,156,San Juan Bautista,4867,2.57,1383,1299,971,811,403,2019,40.45094745,-3.65784012
15,Ciudad Lineal,157,Colina,2564,2.49,784,716,484,368,212,2019,40.45817111,-3.660500494
15,Ciudad Lineal,158,Atalaya,565,2.78,173,152,94,75,71,2019,40.46538473,-3.664363569
15,Ciudad Lineal,159,Costillares,7932,2.77,1903,2141,1527,1350,1011,2019,40.47598548,-3.670914191
16,Hortaleza,161,Palomas,2193,3.1,345,498,469,554,327,2019,40.45246976,-3.616840182
16,Hortaleza,162,Piovera,4879,3.06,960,1051,988,1112,768,2019,40.45641298,-3.63387767
16,Hortaleza,163,Canillas,16012,2.53,4176,4849,3332,2501,1154,2019,40.46517171,-3.646071698
16,Hortaleza,164,Pinar del Rey,21273,2.48,5949,6537,4280,2966,1541,2019,40.47330755,-3.645718872
16,Hortaleza,165,Apóstol Santiago,5797,2.66,1541,1604,1152,955,545,2019,40.47898477,-3.658594367
16,Hortaleza,166,Valdefuentes,19945,2.9,4448,4147,4262,4773,2315,2019,40.48282313,-3.634280649
17,Villaverde,171,Villaverde Alto,16378,2.76,4096,4378,3272,2692,1940,2019,40.34363176,-3.710011007
17,Villaverde,172,San Cristóbal,5116,3.14,1257,1098,904,768,1089,2019,40.34096627,-3.68867801
17,Villaverde,173,Butarque,6609,2.86,1374,1561,1468,1582,624,2019,40.34103245,-3.675427448
17,Villaverde,174,Los Rosales,13206,2.85,2922,3537,2727,2461,1559,2019,40.35688042,-3.688301814
17,Villaverde,175,Ángeles,12024,2.59,3199,3684,2302,1663,1176,2019,40.35689353,-3.699407857
18,Villa de Vallecas,181,Casco Histórico de Vallecas,14839,2.71,3789,3975,3025,2464,1586,2019,40.35149313,-3.618788785
18,Villa de Vallecas,182,Santa Eugenia,8937,2.72,1826,2581,2095,1727,708,2019,40.38401167,-3.614301754
18,Villa de Vallecas,183,Ensanche de Vallecas,18461,2.48,5873,4315,3817,3387,1069,2019,40.36723667,-3.598334171
19,Vicálvaro,191,Casco Histórico de Vicálvaro,13210,2.64,3491,3860,2576,1936,1347,2019,40.38861379,-3.574439089
19,Vicálvaro,192,Valdebernardo,6103,2.89,1194,1349,1513,1524,523,2019,40.39916665,-3.608006966
19,Vicálvaro,193,Valderrivas,6304,2.88,1200,1268,1481,1969,386,2019,40.40352452,-3.674670051
19,Vicálvaro,194,El Cañaveral,615,2.49,171,163,139,108,34,2019,40.40147731,-3.550886512
20,San Blas-Canillejas,201,Simancas,10877,2.57,3332,2864,2091,1676,914,2019,40.43520507,-3.624913311
20,San Blas-Canillejas,202,Hellín,3694,2.48,1166,1025,683,496,324,2019,40.4311922,-3.61696085
20,San Blas-Canillejas,203,Amposta,3361,2.55,1041,894,620,485,321,2019,40.42639957,-3.622608836
20,San Blas-Canillejas,204,Arcos,8976,2.7,2286,2383,1837,1621,849,2019,40.42062544,-3.617729735
20,San Blas-Canillejas,205,Rosas,11061,2.86,2059,2613,2612,3007,770,2019,40.4278625,-3.597513752
20,San Blas-Canillejas,206,Rejas,6689,2.5,2041,1692,1294,1193,469,2019,40.44501198,-3.578503664
20,San Blas-Canillejas,207,Canillejas,10944,2.61,2849,3213,2233,1659,990,2019,40.4438735,-3.614945433
20,San Blas-Canillejas,208,El Salvador,4294,2.64,1061,1118,966,828,321,2019,40.44554578,-3.632380014
21,Barajas,211,Alameda de Osuna,7249,2.69,1558,2065,1601,1417,608,2019,40.45621134,-3.591402968
21,Barajas,212,Aeropuerto,687,2.69,195,157,156,108,71,2019,40.48041062,-3.557864731
21,Barajas,213,Casco Histórico de Barajas,3119,2.43,961,907,637,365,249,2019,40.4751537,-3.578636314
21,Barajas,214,Timón,4634,2.67,1189,1096,1024,951,374,2019,40.47671694,-3.592465453
21,Barajas,215,Corralejos,2580,2.96,520,558,526,702,274,2019,40.46573908,-3.607084051
